Starting training with parameters:
Using CUDA device 0 - NVIDIA L20
Using save prefix "saved_models/model"
Training with SAM: lr=1e-05
	num_epochs: 30
	batch_size: 16
	module 1 weight: 1.0
	module 2 weight: 1.0
******************************** FOLD 0 ******************************
Loaded 1745 training pairs
Embedded successfully...
[1/30] training 6.4%: Loss=0.0480409, MSE=0.0480409, MAE=0.168816
[17/30] training 6.4%: Loss=0.0245398, MSE=0.0245398, MAE=0.120655
[17/30] training 11.8%: Loss=0.0289866, MSE=0.0289866, MAE=0.128646
[17/30] training 17.3%: Loss=0.0272118, MSE=0.0272118, MAE=0.121906
[17/30] training 22.7%: Loss=0.0253562, MSE=0.0253562, MAE=0.118331
[17/30] training 29.1%: Loss=0.0243264, MSE=0.0243264, MAE=0.116227
[17/30] training 34.5%: Loss=0.0236109, MSE=0.0236109, MAE=0.113953
[17/30] training 40.0%: Loss=0.0237473, MSE=0.0237473, MAE=0.114322
[17/30] training 45.5%: Loss=0.0249177, MSE=0.0249177, MAE=0.116566
[17/30] training 51.8%: Loss=0.0247571, MSE=0.0247571, MAE=0.116596
[17/30] training 57.3%: Loss=0.0249707, MSE=0.0249707, MAE=0.117279
[17/30] training 62.7%: Loss=0.0251111, MSE=0.0251111, MAE=0.118465
[17/30] training 68.2%: Loss=0.0254997, MSE=0.0254997, MAE=0.118935
[17/30] training 74.5%: Loss=0.0257559, MSE=0.0257559, MAE=0.119948
[17/30] training 80.0%: Loss=0.0252176, MSE=0.0252176, MAE=0.118772
[17/30] training 85.5%: Loss=0.0248454, MSE=0.0248454, MAE=0.118139
[17/30] training 90.9%: Loss=0.0247105, MSE=0.0247105, MAE=0.118227
[17/30] training 97.3%: Loss=0.0248594, MSE=0.0248594, MAE=0.11838
-----------------------------------Finished Epoch 17/30: Loss=112.54, RMSE=1.21375, MAE=1.71813, r_2=-0.66803, p=0.684091
[18/30] training 6.4%: Loss=0.029083, MSE=0.029083, MAE=0.124696
[18/30] training 11.8%: Loss=0.0254377, MSE=0.0254377, MAE=0.116909
[18/30] training 17.3%: Loss=0.0271552, MSE=0.0271552, MAE=0.120655
[18/30] training 22.7%: Loss=0.0265841, MSE=0.0265841, MAE=0.11932
[18/30] training 29.1%: Loss=0.0259041, MSE=0.0259041, MAE=0.11853
[18/30] training 34.5%: Loss=0.0271065, MSE=0.0271065, MAE=0.12081
[18/30] training 40.0%: Loss=0.0268448, MSE=0.0268448, MAE=0.120271
[18/30] training 45.5%: Loss=0.026616, MSE=0.026616, MAE=0.119762
[18/30] training 51.8%: Loss=0.0272401, MSE=0.0272401, MAE=0.121486
[18/30] training 57.3%: Loss=0.0270105, MSE=0.0270105, MAE=0.121441
[18/30] training 62.7%: Loss=0.0264664, MSE=0.0264664, MAE=0.12084
[18/30] training 68.2%: Loss=0.025812, MSE=0.025812, MAE=0.119357
[18/30] training 74.5%: Loss=0.0255027, MSE=0.0255027, MAE=0.119169
[18/30] training 80.0%: Loss=0.0249813, MSE=0.0249813, MAE=0.118022
[18/30] training 85.5%: Loss=0.0252372, MSE=0.0252372, MAE=0.11871
[18/30] training 90.9%: Loss=0.0251839, MSE=0.0251839, MAE=0.11838
[18/30] training 97.3%: Loss=0.0250674, MSE=0.0250674, MAE=0.118276
-----------------------------------Finished Epoch 18/30: Loss=112.657, RMSE=1.17886, MAE=1.65967, r_2=-0.428953, p=0.699843
[19/30] training 6.4%: Loss=0.0256363, MSE=0.0256363, MAE=0.119087
[19/30] training 11.8%: Loss=0.0252948, MSE=0.0252948, MAE=0.12116
[19/30] training 17.3%: Loss=0.0225378, MSE=0.0225378, MAE=0.11577
[19/30] training 22.7%: Loss=0.0213341, MSE=0.0213341, MAE=0.111779
[19/30] training 29.1%: Loss=0.0216442, MSE=0.0216442, MAE=0.110144
[19/30] training 34.5%: Loss=0.0203713, MSE=0.0203713, MAE=0.106655
[19/30] training 40.0%: Loss=0.0230425, MSE=0.0230425, MAE=0.110936
[19/30] training 45.5%: Loss=0.0224964, MSE=0.0224964, MAE=0.109693
[19/30] training 51.8%: Loss=0.0219239, MSE=0.0219239, MAE=0.109061
[19/30] training 57.3%: Loss=0.0228946, MSE=0.0228946, MAE=0.111922
[19/30] training 62.7%: Loss=0.0232297, MSE=0.0232297, MAE=0.112546
[19/30] training 68.2%: Loss=0.0234783, MSE=0.0234783, MAE=0.113262
[19/30] training 74.5%: Loss=0.0235166, MSE=0.0235166, MAE=0.113203
[19/30] training 80.0%: Loss=0.0230718, MSE=0.0230718, MAE=0.111988
[19/30] training 85.5%: Loss=0.0240523, MSE=0.0240523, MAE=0.114286
[19/30] training 90.9%: Loss=0.0239585, MSE=0.0239585, MAE=0.114115
[19/30] training 97.3%: Loss=0.0238455, MSE=0.0238455, MAE=0.113994
-----------------------------------Finished Epoch 19/30: Loss=112.539, RMSE=1.19545, MAE=1.674, r_2=-0.422881, p=0.702156
[20/30] training 6.4%: Loss=0.0294158, MSE=0.0294158, MAE=0.118308
[20/30] training 11.8%: Loss=0.0254069, MSE=0.0254069, MAE=0.117008
[20/30] training 17.3%: Loss=0.0243441, MSE=0.0243441, MAE=0.114305
[20/30] training 22.7%: Loss=0.023286, MSE=0.023286, MAE=0.114361
[20/30] training 29.1%: Loss=0.0238321, MSE=0.0238321, MAE=0.116513
[20/30] training 34.5%: Loss=0.0239715, MSE=0.0239715, MAE=0.11789
[20/30] training 40.0%: Loss=0.0238928, MSE=0.0238928, MAE=0.116953
[20/30] training 45.5%: Loss=0.0257628, MSE=0.0257628, MAE=0.121271
[20/30] training 51.8%: Loss=0.025404, MSE=0.025404, MAE=0.120602
[20/30] training 57.3%: Loss=0.024878, MSE=0.024878, MAE=0.119208
[20/30] training 62.7%: Loss=0.0248285, MSE=0.0248285, MAE=0.118478
[20/30] training 68.2%: Loss=0.0254119, MSE=0.0254119, MAE=0.118974
[20/30] training 74.5%: Loss=0.0255765, MSE=0.0255765, MAE=0.119381
[20/30] training 80.0%: Loss=0.0262043, MSE=0.0262043, MAE=0.120709
[20/30] training 85.5%: Loss=0.0260533, MSE=0.0260533, MAE=0.120056
[20/30] training 90.9%: Loss=0.0263266, MSE=0.0263266, MAE=0.120006
[20/30] training 97.3%: Loss=0.0258118, MSE=0.0258118, MAE=0.11865
-----------------------------------Finished Epoch 20/30: Loss=112.933, RMSE=1.14362, MAE=1.60906, r_2=-0.232203, p=0.702477
[21/30] training 6.4%: Loss=0.0213211, MSE=0.0213211, MAE=0.106572
[21/30] training 11.8%: Loss=0.0255152, MSE=0.0255152, MAE=0.117361
[21/30] training 17.3%: Loss=0.0287959, MSE=0.0287959, MAE=0.123756
[21/30] training 22.7%: Loss=0.0273147, MSE=0.0273147, MAE=0.122045
[21/30] training 29.1%: Loss=0.0272705, MSE=0.0272705, MAE=0.122138
[21/30] training 34.5%: Loss=0.0261219, MSE=0.0261219, MAE=0.11912
[21/30] training 40.0%: Loss=0.0251763, MSE=0.0251763, MAE=0.116956
[21/30] training 45.5%: Loss=0.0253757, MSE=0.0253757, MAE=0.117695
[21/30] training 51.8%: Loss=0.0260579, MSE=0.0260579, MAE=0.118514
[21/30] training 57.3%: Loss=0.025696, MSE=0.025696, MAE=0.117468
[21/30] training 62.7%: Loss=0.0256667, MSE=0.0256667, MAE=0.117769
[21/30] training 68.2%: Loss=0.0255546, MSE=0.0255546, MAE=0.118285
[21/30] training 74.5%: Loss=0.0251918, MSE=0.0251918, MAE=0.117804
[21/30] training 80.0%: Loss=0.024829, MSE=0.024829, MAE=0.117414
[21/30] training 85.5%: Loss=0.0248185, MSE=0.0248185, MAE=0.117523
[21/30] training 90.9%: Loss=0.0247873, MSE=0.0247873, MAE=0.117598
[21/30] training 97.3%: Loss=0.0246319, MSE=0.0246319, MAE=0.116551
-----------------------------------Finished Epoch 21/30: Loss=112.139, RMSE=1.25088, MAE=1.74701, r_2=-0.558614, p=0.710316
[22/30] training 6.4%: Loss=0.0198883, MSE=0.0198883, MAE=0.103678
[22/30] training 11.8%: Loss=0.0192879, MSE=0.0192879, MAE=0.105597
[22/30] training 17.3%: Loss=0.0200561, MSE=0.0200561, MAE=0.106246
[22/30] training 22.7%: Loss=0.022725, MSE=0.022725, MAE=0.110314
[22/30] training 29.1%: Loss=0.0239575, MSE=0.0239575, MAE=0.113082
[22/30] training 34.5%: Loss=0.0245392, MSE=0.0245392, MAE=0.114859
[22/30] training 40.0%: Loss=0.0243633, MSE=0.0243633, MAE=0.115284
[22/30] training 45.5%: Loss=0.0245543, MSE=0.0245543, MAE=0.115116
[22/30] training 51.8%: Loss=0.0239462, MSE=0.0239462, MAE=0.114604
[22/30] training 57.3%: Loss=0.0240129, MSE=0.0240129, MAE=0.114522
[22/30] training 62.7%: Loss=0.023325, MSE=0.023325, MAE=0.113229
[22/30] training 68.2%: Loss=0.0231221, MSE=0.0231221, MAE=0.112887
[22/30] training 74.5%: Loss=0.0229913, MSE=0.0229913, MAE=0.112707
[22/30] training 80.0%: Loss=0.0232876, MSE=0.0232876, MAE=0.113206
[22/30] training 85.5%: Loss=0.0235277, MSE=0.0235277, MAE=0.114338
[22/30] training 90.9%: Loss=0.0234047, MSE=0.0234047, MAE=0.114316
[22/30] training 97.3%: Loss=0.0238035, MSE=0.0238035, MAE=0.114974
-----------------------------------Finished Epoch 22/30: Loss=112.459, RMSE=1.20219, MAE=1.68, r_2=-0.327428, p=0.703573
[23/30] training 6.4%: Loss=0.0264008, MSE=0.0264008, MAE=0.12283
[23/30] training 11.8%: Loss=0.0275807, MSE=0.0275807, MAE=0.124231
[23/30] training 17.3%: Loss=0.0241435, MSE=0.0241435, MAE=0.116616
[23/30] training 22.7%: Loss=0.0256314, MSE=0.0256314, MAE=0.119485
[23/30] training 29.1%: Loss=0.0251679, MSE=0.0251679, MAE=0.118581
[23/30] training 34.5%: Loss=0.0240407, MSE=0.0240407, MAE=0.116144
[23/30] training 40.0%: Loss=0.0242276, MSE=0.0242276, MAE=0.117302
[23/30] training 45.5%: Loss=0.0248119, MSE=0.0248119, MAE=0.118924
[23/30] training 51.8%: Loss=0.0252051, MSE=0.0252051, MAE=0.119756
[23/30] training 57.3%: Loss=0.0247429, MSE=0.0247429, MAE=0.119173
[23/30] training 62.7%: Loss=0.0246055, MSE=0.0246055, MAE=0.119107
[23/30] training 68.2%: Loss=0.0244575, MSE=0.0244575, MAE=0.119169
[23/30] training 74.5%: Loss=0.0248726, MSE=0.0248726, MAE=0.119592
[23/30] training 80.0%: Loss=0.0246557, MSE=0.0246557, MAE=0.119085
[23/30] training 85.5%: Loss=0.0246737, MSE=0.0246737, MAE=0.11894
[23/30] training 90.9%: Loss=0.0242078, MSE=0.0242078, MAE=0.117845
[23/30] training 97.3%: Loss=0.0240885, MSE=0.0240885, MAE=0.117273
-----------------------------------Finished Epoch 23/30: Loss=112.653, RMSE=1.17177, MAE=1.63648, r_2=-0.214877, p=0.706325
[24/30] training 6.4%: Loss=0.0202011, MSE=0.0202011, MAE=0.108488
[24/30] training 11.8%: Loss=0.0201006, MSE=0.0201006, MAE=0.106499
[24/30] training 17.3%: Loss=0.0220762, MSE=0.0220762, MAE=0.111916
[24/30] training 22.7%: Loss=0.0239706, MSE=0.0239706, MAE=0.114953
[24/30] training 29.1%: Loss=0.0244615, MSE=0.0244615, MAE=0.116302
[24/30] training 34.5%: Loss=0.0239614, MSE=0.0239614, MAE=0.115421
[24/30] training 40.0%: Loss=0.0234974, MSE=0.0234974, MAE=0.113762
[24/30] training 45.5%: Loss=0.0235385, MSE=0.0235385, MAE=0.113554
[24/30] training 51.8%: Loss=0.0238394, MSE=0.0238394, MAE=0.114391
[24/30] training 57.3%: Loss=0.024253, MSE=0.024253, MAE=0.115292
[24/30] training 62.7%: Loss=0.0247113, MSE=0.0247113, MAE=0.115658
[24/30] training 68.2%: Loss=0.0241249, MSE=0.0241249, MAE=0.114881
[24/30] training 74.5%: Loss=0.0245202, MSE=0.0245202, MAE=0.115642
[24/30] training 80.0%: Loss=0.0238236, MSE=0.0238236, MAE=0.114269
[24/30] training 85.5%: Loss=0.0238758, MSE=0.0238758, MAE=0.114511
[24/30] training 90.9%: Loss=0.0242466, MSE=0.0242466, MAE=0.115766
[24/30] training 97.3%: Loss=0.024335, MSE=0.024335, MAE=0.11561
-----------------------------------Finished Epoch 24/30: Loss=111.96, RMSE=1.3097, MAE=1.81688, r_2=-0.639938, p=0.696957
[25/30] training 6.4%: Loss=0.017717, MSE=0.017717, MAE=0.0984609
[25/30] training 11.8%: Loss=0.0259907, MSE=0.0259907, MAE=0.119205
[25/30] training 17.3%: Loss=0.0258854, MSE=0.0258854, MAE=0.119768
[25/30] training 22.7%: Loss=0.0253401, MSE=0.0253401, MAE=0.117354
[25/30] training 29.1%: Loss=0.0251294, MSE=0.0251294, MAE=0.117632
[25/30] training 34.5%: Loss=0.0248723, MSE=0.0248723, MAE=0.117592
[25/30] training 40.0%: Loss=0.0247679, MSE=0.0247679, MAE=0.116827
[25/30] training 45.5%: Loss=0.0259791, MSE=0.0259791, MAE=0.118886
[25/30] training 51.8%: Loss=0.0257807, MSE=0.0257807, MAE=0.118313
[25/30] training 57.3%: Loss=0.0256646, MSE=0.0256646, MAE=0.118719
[25/30] training 62.7%: Loss=0.0249463, MSE=0.0249463, MAE=0.117087
[25/30] training 68.2%: Loss=0.0244443, MSE=0.0244443, MAE=0.116706
[25/30] training 74.5%: Loss=0.0244949, MSE=0.0244949, MAE=0.116932
[25/30] training 80.0%: Loss=0.0245234, MSE=0.0245234, MAE=0.117304
[25/30] training 85.5%: Loss=0.0241111, MSE=0.0241111, MAE=0.116469
[25/30] training 90.9%: Loss=0.0239191, MSE=0.0239191, MAE=0.115913
[25/30] training 97.3%: Loss=0.0234541, MSE=0.0234541, MAE=0.115042
-----------------------------------Finished Epoch 25/30: Loss=112.092, RMSE=1.27326, MAE=1.77524, r_2=-0.575564, p=0.700719
[26/30] training 6.4%: Loss=0.0169644, MSE=0.0169644, MAE=0.106004
[26/30] training 11.8%: Loss=0.0208794, MSE=0.0208794, MAE=0.112009
[26/30] training 17.3%: Loss=0.022536, MSE=0.022536, MAE=0.112521
[26/30] training 22.7%: Loss=0.0253253, MSE=0.0253253, MAE=0.118782
[26/30] training 29.1%: Loss=0.0245265, MSE=0.0245265, MAE=0.117193
[26/30] training 34.5%: Loss=0.0242495, MSE=0.0242495, MAE=0.117198
[26/30] training 40.0%: Loss=0.0227955, MSE=0.0227955, MAE=0.11354
[26/30] training 45.5%: Loss=0.0227363, MSE=0.0227363, MAE=0.114155
[26/30] training 51.8%: Loss=0.0230505, MSE=0.0230505, MAE=0.115061
[26/30] training 57.3%: Loss=0.0224331, MSE=0.0224331, MAE=0.113078
[26/30] training 62.7%: Loss=0.0233497, MSE=0.0233497, MAE=0.113994
[26/30] training 68.2%: Loss=0.0230731, MSE=0.0230731, MAE=0.113408
[26/30] training 74.5%: Loss=0.0238025, MSE=0.0238025, MAE=0.114655
[26/30] training 80.0%: Loss=0.0237199, MSE=0.0237199, MAE=0.114157
[26/30] training 85.5%: Loss=0.0237585, MSE=0.0237585, MAE=0.114288
[26/30] training 90.9%: Loss=0.0238801, MSE=0.0238801, MAE=0.114493
[26/30] training 97.3%: Loss=0.0235368, MSE=0.0235368, MAE=0.114029
-----------------------------------Finished Epoch 26/30: Loss=112.73, RMSE=1.18931, MAE=1.64986, r_2=-0.325807, p=0.696316
[27/30] training 6.4%: Loss=0.0258873, MSE=0.0258873, MAE=0.115358
[27/30] training 11.8%: Loss=0.0222844, MSE=0.0222844, MAE=0.11169
[27/30] training 17.3%: Loss=0.023432, MSE=0.023432, MAE=0.116905
[27/30] training 22.7%: Loss=0.0225547, MSE=0.0225547, MAE=0.115452
[27/30] training 29.1%: Loss=0.0216905, MSE=0.0216905, MAE=0.113401
[27/30] training 34.5%: Loss=0.0233645, MSE=0.0233645, MAE=0.115464
[27/30] training 40.0%: Loss=0.023515, MSE=0.023515, MAE=0.115972
[27/30] training 45.5%: Loss=0.0236329, MSE=0.0236329, MAE=0.115397
[27/30] training 51.8%: Loss=0.0237835, MSE=0.0237835, MAE=0.115839
[27/30] training 57.3%: Loss=0.0233954, MSE=0.0233954, MAE=0.114635
[27/30] training 62.7%: Loss=0.0228085, MSE=0.0228085, MAE=0.113741
[27/30] training 68.2%: Loss=0.0226499, MSE=0.0226499, MAE=0.113262
[27/30] training 74.5%: Loss=0.0222428, MSE=0.0222428, MAE=0.112212
[27/30] training 80.0%: Loss=0.0220898, MSE=0.0220898, MAE=0.111554
[27/30] training 85.5%: Loss=0.022295, MSE=0.022295, MAE=0.112042
[27/30] training 90.9%: Loss=0.0222013, MSE=0.0222013, MAE=0.111663
[27/30] training 97.3%: Loss=0.0227056, MSE=0.0227056, MAE=0.112606
-----------------------------------Finished Epoch 27/30: Loss=112.222, RMSE=1.23836, MAE=1.72763, r_2=-0.371367, p=0.704667
[28/30] training 6.4%: Loss=0.0257912, MSE=0.0257912, MAE=0.109964
[28/30] training 11.8%: Loss=0.0256545, MSE=0.0256545, MAE=0.113745
[28/30] training 17.3%: Loss=0.0262466, MSE=0.0262466, MAE=0.117567
[28/30] training 22.7%: Loss=0.0232396, MSE=0.0232396, MAE=0.111559
[28/30] training 29.1%: Loss=0.0241244, MSE=0.0241244, MAE=0.113815
[28/30] training 34.5%: Loss=0.0235352, MSE=0.0235352, MAE=0.113336
[28/30] training 40.0%: Loss=0.0229175, MSE=0.0229175, MAE=0.11177
[28/30] training 45.5%: Loss=0.022229, MSE=0.022229, MAE=0.110342
[28/30] training 51.8%: Loss=0.0233738, MSE=0.0233738, MAE=0.112914
[28/30] training 57.3%: Loss=0.0226989, MSE=0.0226989, MAE=0.111445
[28/30] training 62.7%: Loss=0.0224238, MSE=0.0224238, MAE=0.110852
[28/30] training 68.2%: Loss=0.0220815, MSE=0.0220815, MAE=0.110403
[28/30] training 74.5%: Loss=0.0222581, MSE=0.0222581, MAE=0.110559
[28/30] training 80.0%: Loss=0.0221463, MSE=0.0221463, MAE=0.110537
[28/30] training 85.5%: Loss=0.0225974, MSE=0.0225974, MAE=0.111426
[28/30] training 90.9%: Loss=0.0222425, MSE=0.0222425, MAE=0.110753
[28/30] training 97.3%: Loss=0.0225284, MSE=0.0225284, MAE=0.111731
-----------------------------------Finished Epoch 28/30: Loss=113.022, RMSE=1.15968, MAE=1.60394, r_2=-0.19449, p=0.699812
[29/30] training 6.4%: Loss=0.0189307, MSE=0.0189307, MAE=0.0950994
[29/30] training 11.8%: Loss=0.0203626, MSE=0.0203626, MAE=0.103999
[29/30] training 17.3%: Loss=0.0215825, MSE=0.0215825, MAE=0.108101
[29/30] training 22.7%: Loss=0.0229193, MSE=0.0229193, MAE=0.109651
[29/30] training 29.1%: Loss=0.0224464, MSE=0.0224464, MAE=0.10939
[29/30] training 34.5%: Loss=0.023714, MSE=0.023714, MAE=0.112733
[29/30] training 40.0%: Loss=0.022932, MSE=0.022932, MAE=0.111205
[29/30] training 45.5%: Loss=0.0218905, MSE=0.0218905, MAE=0.109617
[29/30] training 51.8%: Loss=0.023358, MSE=0.023358, MAE=0.112338
[29/30] training 57.3%: Loss=0.0235255, MSE=0.0235255, MAE=0.113054
[29/30] training 62.7%: Loss=0.0234606, MSE=0.0234606, MAE=0.113328
[29/30] training 68.2%: Loss=0.0231836, MSE=0.0231836, MAE=0.112988
[29/30] training 74.5%: Loss=0.0229813, MSE=0.0229813, MAE=0.112631
[29/30] training 80.0%: Loss=0.0234704, MSE=0.0234704, MAE=0.113994
[29/30] training 85.5%: Loss=0.0231821, MSE=0.0231821, MAE=0.113732
[29/30] training 90.9%: Loss=0.0228194, MSE=0.0228194, MAE=0.112817
[29/30] training 97.3%: Loss=0.0225252, MSE=0.0225252, MAE=0.111959
-----------------------------------Finished Epoch 29/30: Loss=111.994, RMSE=1.27346, MAE=1.78558, r_2=-0.477926, p=0.705156
[30/30] training 6.4%: Loss=0.0227867, MSE=0.0227867, MAE=0.106523
[30/30] training 11.8%: Loss=0.0241384, MSE=0.0241384, MAE=0.114581
[30/30] training 17.3%: Loss=0.0228985, MSE=0.0228985, MAE=0.111105
[30/30] training 22.7%: Loss=0.0237608, MSE=0.0237608, MAE=0.114784
[30/30] training 29.1%: Loss=0.0228385, MSE=0.0228385, MAE=0.112563
[30/30] training 34.5%: Loss=0.0238772, MSE=0.0238772, MAE=0.11473
[30/30] training 40.0%: Loss=0.024096, MSE=0.024096, MAE=0.114982
[30/30] training 45.5%: Loss=0.0238163, MSE=0.0238163, MAE=0.114013
[30/30] training 51.8%: Loss=0.0242815, MSE=0.0242815, MAE=0.115254
[30/30] training 57.3%: Loss=0.0238074, MSE=0.0238074, MAE=0.114257
[30/30] training 62.7%: Loss=0.0232954, MSE=0.0232954, MAE=0.113815
[30/30] training 68.2%: Loss=0.0229338, MSE=0.0229338, MAE=0.112628
[30/30] training 74.5%: Loss=0.0228514, MSE=0.0228514, MAE=0.112614
[30/30] training 80.0%: Loss=0.0226786, MSE=0.0226786, MAE=0.112709
[30/30] training 85.5%: Loss=0.022552, MSE=0.022552, MAE=0.113057
[30/30] training 90.9%: Loss=0.0221157, MSE=0.0221157, MAE=0.111498
[30/30] training 97.3%: Loss=0.0219915, MSE=0.0219915, MAE=0.110835
-----------------------------------Finished Epoch 30/30: Loss=113.591, RMSE=1.12835, MAE=1.54404, r_2=-0.0588534, p=0.717934
Saving final model to saved_models/model_fold1_final.pth
******************************** FOLD 2 ******************************
Loaded 1745 training pairs
Embedded successfully...
[1/30] training 6.4%: Loss=0.0423846, MSE=0.0423846, MAE=0.156445
[1/30] training 11.8%: Loss=0.0453295, MSE=0.0453295, MAE=0.16323
[1/30] training 17.3%: Loss=0.0462956, MSE=0.0462956, MAE=0.164298
[1/30] training 22.7%: Loss=0.0467959, MSE=0.0467959, MAE=0.164178
[1/30] training 29.1%: Loss=0.0441631, MSE=0.0441631, MAE=0.16087
[1/30] training 34.5%: Loss=0.042558, MSE=0.042558, MAE=0.156989
[1/30] training 40.0%: Loss=0.0416915, MSE=0.0416915, MAE=0.155974
[1/30] training 45.5%: Loss=0.0421032, MSE=0.0421032, MAE=0.156491
[1/30] training 51.8%: Loss=0.0411153, MSE=0.0411153, MAE=0.154998
[1/30] training 57.3%: Loss=0.0398872, MSE=0.0398872, MAE=0.152927
[1/30] training 62.7%: Loss=0.0407987, MSE=0.0407987, MAE=0.154818
[1/30] training 68.2%: Loss=0.0410333, MSE=0.0410333, MAE=0.155085
[1/30] training 74.5%: Loss=0.0410601, MSE=0.0410601, MAE=0.155334
[1/30] training 80.0%: Loss=0.0410974, MSE=0.0410974, MAE=0.15538
[1/30] training 85.5%: Loss=0.0411146, MSE=0.0411146, MAE=0.155661
[1/30] training 90.9%: Loss=0.0407599, MSE=0.0407599, MAE=0.154851
[1/30] training 97.3%: Loss=0.0405165, MSE=0.0405165, MAE=0.15459
-----------------------------------Finished Epoch 1/30: Loss=109.844, RMSE=1.57061, MAE=2.0423, r_2=-11.7602, p=0.286669
[2/30] training 6.4%: Loss=0.032486, MSE=0.032486, MAE=0.133601
[2/30] training 11.8%: Loss=0.0324532, MSE=0.0324532, MAE=0.137126
[2/30] training 17.3%: Loss=0.0323141, MSE=0.0323141, MAE=0.139181
[2/30] training 22.7%: Loss=0.0324747, MSE=0.0324747, MAE=0.138781
[2/30] training 29.1%: Loss=0.0325002, MSE=0.0325002, MAE=0.139438
[2/30] training 34.5%: Loss=0.0317109, MSE=0.0317109, MAE=0.137826
[2/30] training 40.0%: Loss=0.033385, MSE=0.033385, MAE=0.142128
[2/30] training 45.5%: Loss=0.0339189, MSE=0.0339189, MAE=0.143006
[2/30] training 51.8%: Loss=0.0348603, MSE=0.0348603, MAE=0.144202
[2/30] training 57.3%: Loss=0.0351981, MSE=0.0351981, MAE=0.144546
[2/30] training 62.7%: Loss=0.0356969, MSE=0.0356969, MAE=0.145771
[2/30] training 68.2%: Loss=0.0362967, MSE=0.0362967, MAE=0.146855
[2/30] training 74.5%: Loss=0.0361079, MSE=0.0361079, MAE=0.146525
[2/30] training 80.0%: Loss=0.0359146, MSE=0.0359146, MAE=0.146049
[2/30] training 85.5%: Loss=0.0361859, MSE=0.0361859, MAE=0.146984
[2/30] training 90.9%: Loss=0.0357706, MSE=0.0357706, MAE=0.146405
[2/30] training 97.3%: Loss=0.035761, MSE=0.035761, MAE=0.146247
-----------------------------------Finished Epoch 2/30: Loss=109.652, RMSE=1.51101, MAE=1.98718, r_2=-5.73999, p=0.379689
[3/30] training 6.4%: Loss=0.0281948, MSE=0.0281948, MAE=0.141036
[3/30] training 11.8%: Loss=0.0270382, MSE=0.0270382, MAE=0.134437
[3/30] training 17.3%: Loss=0.0274612, MSE=0.0274612, MAE=0.133726
[3/30] training 22.7%: Loss=0.0287343, MSE=0.0287343, MAE=0.136187
[3/30] training 29.1%: Loss=0.0315691, MSE=0.0315691, MAE=0.141154
[3/30] training 34.5%: Loss=0.0317128, MSE=0.0317128, MAE=0.139973
[3/30] training 40.0%: Loss=0.0306835, MSE=0.0306835, MAE=0.138043
[3/30] training 45.5%: Loss=0.030515, MSE=0.030515, MAE=0.13749
[3/30] training 51.8%: Loss=0.031336, MSE=0.031336, MAE=0.138298
[3/30] training 57.3%: Loss=0.0311336, MSE=0.0311336, MAE=0.138327
[3/30] training 62.7%: Loss=0.0307067, MSE=0.0307067, MAE=0.137263
[3/30] training 68.2%: Loss=0.0308976, MSE=0.0308976, MAE=0.137813
[3/30] training 74.5%: Loss=0.0315209, MSE=0.0315209, MAE=0.138679
[3/30] training 80.0%: Loss=0.0320659, MSE=0.0320659, MAE=0.139727
[3/30] training 85.5%: Loss=0.032277, MSE=0.032277, MAE=0.140116
[3/30] training 90.9%: Loss=0.0328095, MSE=0.0328095, MAE=0.141063
[3/30] training 97.3%: Loss=0.0331257, MSE=0.0331257, MAE=0.141438
-----------------------------------Finished Epoch 3/30: Loss=109.818, RMSE=1.4499, MAE=1.92737, r_2=-3.95433, p=0.425933
[4/30] training 6.4%: Loss=0.0354747, MSE=0.0354747, MAE=0.146971
[4/30] training 11.8%: Loss=0.0323915, MSE=0.0323915, MAE=0.142072
[4/30] training 17.3%: Loss=0.0341535, MSE=0.0341535, MAE=0.144715
[4/30] training 22.7%: Loss=0.0334107, MSE=0.0334107, MAE=0.142662
[4/30] training 29.1%: Loss=0.0342162, MSE=0.0342162, MAE=0.143437
[4/30] training 34.5%: Loss=0.0343036, MSE=0.0343036, MAE=0.142663
[4/30] training 40.0%: Loss=0.0331011, MSE=0.0331011, MAE=0.140646
[4/30] training 45.5%: Loss=0.0324538, MSE=0.0324538, MAE=0.139437
[4/30] training 51.8%: Loss=0.0315698, MSE=0.0315698, MAE=0.137708
[4/30] training 57.3%: Loss=0.0309087, MSE=0.0309087, MAE=0.136977
[4/30] training 62.7%: Loss=0.0311435, MSE=0.0311435, MAE=0.137605
[4/30] training 68.2%: Loss=0.0310442, MSE=0.0310442, MAE=0.137529
[4/30] training 74.5%: Loss=0.0310559, MSE=0.0310559, MAE=0.137379
[4/30] training 80.0%: Loss=0.0309626, MSE=0.0309626, MAE=0.137306
[4/30] training 85.5%: Loss=0.0311939, MSE=0.0311939, MAE=0.137736
[4/30] training 90.9%: Loss=0.0312764, MSE=0.0312764, MAE=0.137801
[4/30] training 97.3%: Loss=0.0312174, MSE=0.0312174, MAE=0.137421
-----------------------------------Finished Epoch 4/30: Loss=109.696, RMSE=1.4258, MAE=1.91082, r_2=-2.76689, p=0.45012
[5/30] training 6.4%: Loss=0.031466, MSE=0.031466, MAE=0.132143
[5/30] training 11.8%: Loss=0.0283407, MSE=0.0283407, MAE=0.124769
[5/30] training 17.3%: Loss=0.0280054, MSE=0.0280054, MAE=0.127829
